date,description,amount,type
2025-07-01,SALARY ACME CORP,75000,CREDIT
2025-07-02,SWIGGY BANGALORE,450,DEBIT
2025-07-02,UBER RIDE,280,DEBIT
2025-07-03,NETFLIX SUBSCRIPTION,649,DEBIT
2025-07-04,AMAZON ORDER,1299,DEBIT
2025-07-05,RENT PAYMENT,15000,DEBIT
2025-07-06,RELIANCE FRESH GROCERIES,2100,DEBIT
2025-07-07,SPOTIFY PREMIUM,199,DEBIT
2025-07-08,ZOMATO ORDER,620,DEBIT
2025-07-09,OLA RIDE AIRPORT,550,DEBIT
2025-07-10,ELECTRICITY BILL BESCOM,1800,DEBIT
2025-07-10,INTERNET JIO FIBER,999,DEBIT
2025-07-11,DOMINOS PIZZA,780,DEBIT
2025-07-12,FLIPKART ORDER,3499,DEBIT
2025-07-13,CHEMIST PHARMACY,350,DEBIT
2025-07-14,SWIGGY BANGALORE,380,DEBIT
2025-07-15,FREELANCE PAYMENT,12000,CREDIT
2025-07-15,AMAZON PRIME,1499,DEBIT
2025-07-16,MYNTRA ORDER,2199,DEBIT
2025-07-17,OLA RIDE,180,DEBIT
2025-07-18,IRCTC TRAIN TICKET,850,DEBIT
2025-07-19,ZOMATO ORDER,520,DEBIT
2025-07-20,GYM MEMBERSHIP,2500,DEBIT
2025-07-21,BOOKMYSHOW MOVIE,400,DEBIT
2025-07-22,SWIGGY BANGALORE,340,DEBIT
2025-07-23,INDIAN OIL PETROL,2000,DEBIT
2025-07-24,COURSIERA COURSE,1999,DEBIT
2025-07-25,MEESHO ORDER,899,DEBIT
2025-07-26,CANTEEN LUNCH,120,DEBIT
2025-07-27,BIRTHDAY GIFT CASH,1500,DEBIT
2025-07-28,SWIGGY BANGALORE,560,DEBIT
2025-07-29,DENTAL CHECKUP,2000,DEBIT
2025-07-30,RENT PAYMENT,15000,DEBIT
